"Odonate","Prey","Replicate","N_given","N_eaten","body_mass","bm","size_class"
23,"Psycodidae",2,2,0,0.21984,0.22,"Medium"
24,"Psycodidae",3,2,2,0.21984,0.22,"Medium"
1,"CulexE",1,50,10,0.17708,0.18,"Medium"
2,"CulexE",2,50,6,0.17708,0.18,"Medium"
2,"ScirtesA",1,10,1,0.3286,0.33,"Large"
3,"ScirtesA",2,10,0,0.3286,0.33,"Large"
4,"ScirtesA",3,10,1,0.3286,0.33,"Large"
8,"ScirtesA",1,5,0,0.3286,0.33,"Large"
9,"ScirtesA",2,5,0,0.3286,0.33,"Large"
10,"CulexE",3,50,10,0.17708,0.18,"Medium"
11,"CulexE",1,20,8,0.17708,0.18,"Medium"
20,"Psycodidae",1,1,0,0.21984,0.22,"Medium"
21,"Psycodidae",2,1,0,0.21984,0.22,"Medium"
1,"ScirtesA",3,5,1,0.3286,0.33,"Large"
5,"ScirtesA",1,2,1,0.3286,0.33,"Large"
6,"ScirtesA",2,2,1,0.3286,0.33,"Large"
7,"ScirtesA",3,2,0,0.3286,0.33,"Large"
11,"ScirtesA",1,1,0,0.3286,0.33,"Large"
12,"ScirtesA",2,1,1,0.3286,0.33,"Large"
13,"ScirtesA",3,1,1,0.3286,0.33,"Large"
22,"Psycodidae",3,1,1,0.21984,0.22,"Medium"
1,"CulexE",2,20,3,0.17708,0.18,"Medium"
2,"CulexE",3,20,4,0.17708,0.18,"Medium"
6,"CulexE",2,10,3,0.17708,0.18,"Medium"
7,"CulexE",3,10,3,0.17708,0.18,"Medium"
8,"CulexE",1,10,2,0.17708,0.18,"Medium"
11,"CulexE",1,5,1,0.17708,0.18,"Medium"
12,"CulexE",2,5,3,0.17708,0.18,"Medium"
13,"CulexE",3,5,3,0.17708,0.18,"Medium"
14,"CulexE",1,2,1,0.17708,0.18,"Medium"
15,"CulexE",2,2,0,0.17708,0.18,"Medium"
16,"CulexE",3,2,0,0.17708,0.18,"Medium"
17,"CulexE",1,1,0,0.17708,0.18,"Medium"
18,"CulexE",2,1,0,0.17708,0.18,"Medium"
19,"CulexE",3,1,0,0.17708,0.18,"Medium"
