"","Estimate","Std. Error","z value","Pr(z)"
"a0",0.0128692561567022,0.00831701866319037,1.54734005992546,0.121781266661054
"br",1.3,0.611395816441426,2.12628213187086,0.0334797749241589
"e",0.0717292219560268,0.0226366957409186,3.16871432018974,0.00153114813828085
"al",2.41854332591954,0.0837457487758294,28.8795952185406,2.15424421699552e-183
"h0",19.8374520658834,0.00184611851804989,10745.4921620299,0
